Name,City,State,Type,Website,Email,Contact,Phone,Tags,Notes
Matt Talbot Kitchen & Outreach (Hope Garden),Lincoln,NE,Independent,https://www.mtko.org/,,,,"Prospect, Lincoln, Faith-based",Hunger/homeless-services nonprofit operating an on-site Hope Garden that feeds its kitchen and pantry. Source: https://www.mtko.org/
Clinton Neighborhood Organization,Lincoln,NE,Independent,https://www.facebook.com/CNOLincoln,,,,"Prospect, Lincoln, Neighborhood Assoc, Grant Recipient",NE-Lincoln association running a community plant & seed exchange (29th & Holdrege); 2026 Lincoln Community Foundation Open Door grant. Source: https://lcf.org/helping-nonprofits/grants-awarded.html/article/2026/01/31/lincoln-community-foundation-2025-open-door-grants
Cooper Park Community Garden,Lincoln,NE,City-Sponsored,https://www.lincoln.ne.gov/City/Departments/Parks-and-Recreation/Parks-Facilities/Parks-A-to-Z/Cooper-Park,,,,"Prospect, Lincoln, City Program",Garden at 1151 Centerpark Rd (est. 2011) via City of Lincoln + nonprofit partnership; reported 150+ plots plus orchard and composting. Source: https://www.travelnebraska.org/cities-and-towns/nebraska-community-gardens
Lutheran Services in Iowa - Global Greens,Des Moines,IA,Independent,https://lsiowa.org/ircs/global-greens/,,,,"Prospect, Des Moines, Garden Network, Refugee/New American",Refugee/immigrant farming program with an 8.5-acre incubator farm plus metro garden plots; bought Dogpatch Urban Gardens in 2025 and manages the Drake Neighborhood garden. Source: https://www.iowapublicradio.org/ipr-news/2025-05-01/immigrant-refugee-farmers-global-greens-lutheran-services-of-iowa-lsi
Joppa - Shared Roots Community Garden,Des Moines,IA,Independent,https://www.joppa.org/2020/11/06/introducing-shared-roots-community-garden/,,,,"Prospect, Des Moines",Nonprofit-run garden in Cheatom Park with 75 beds providing free produce; weekly 'Garden Thyme' sessions with master gardeners. Source: https://www.joppa.org/2020/11/06/introducing-shared-roots-community-garden/
Watchmen Community Garden,Des Moines,IA,Independent,https://watchmen.ngo/watchmen-community-garden/,infonow@watchmen.ngo,,,"Prospect, Des Moines, Grant Recipient","Nonprofit 5,000 sq ft garden off Hickman Rd feeding the Watchmen Food Pantry; United Way of Central Iowa community-garden mini-grant recipient. Source: https://watchmen.ngo/watchmen-community-garden/"
Birds & Bees Urban Farm,Des Moines,IA,Independent,https://birdsbeesurbanfarm.org/,kathy@birdsbeesurbanfarm.org,Kathy Byrnes,,"Prospect, Des Moines","501(c)(3) educational urban farm in Sherman Hill (735 19th St); workshops, tours, and local-food-policy work with the City of Des Moines. Source: https://www.charitynavigator.org/ein/843414342"
Faith & Grace Garden (St. Timothy's Episcopal Church),West Des Moines,IA,Independent,https://sttimothysiowa.org/faith-grace-garden/,wdmmarshall@msn.com,Mark Marshall,,"Prospect, Des Moines, Faith-based","All-organic donation garden (1020 24th St, WDM) that grew/donated ~32,370 lbs of produce in 2025 to DMARC and others; ~1,000 tomato plants. Source: https://sttimothysiowa.org/faith-grace-garden/"
Drake Neighborhood Community Garden,Des Moines,IA,Independent,https://dna.wildapricot.org/Drake-Neighborhood-Community-Garden,info@drakeneighborhood.org,,,"Prospect, Des Moines, Neighborhood Assoc",Neighborhood-association garden on 27th St with ~30 plots since the mid-1990s; now managed with LSI Global Greens. Source: https://dna.wildapricot.org/Drake-Neighborhood-Community-Garden
Sweet Tooth Farm,Des Moines,IA,Independent,,,Monika Owczarski,,"Prospect, Des Moines",Urban market garden in River Bend (1809 8th St) supplying food pantries and community fridges; in 2026 seeking to buy its city-leased parcel. Source: https://www.axios.com/local/des-moines/2026/03/19/farm-owner-wants-to-save-her-garden-leased-from-dsm
Eat Greater Des Moines,Des Moines,IA,Independent,https://www.eatgreaterdesmoines.org/,info@eatgreaterdesmoines.org,,,"Prospect, Des Moines, Garden Network",Food-systems nonprofit supporting 25+ school/community/faith gardens across the metro plus food rescue; key network hub and referral partner. Source: https://goodfoodorgguide.com/listing/eat-greater-des-moines/
Oakridge Neighborhood,Des Moines,IA,Independent,https://oakridgeneighborhood.org/,,,,"Prospect, Des Moines",Nonprofit on 17 acres in the urban core running food-security programming (community fridge/pantry) with Eat Greater Des Moines. Source: https://www.changex.org/us/communityfridge/des-moines-ia-usa-polk-county-5
Central Iowa Shelter & Services Urban Farm,Des Moines,IA,Independent,,,,,"Prospect, Des Moines",Shelter nonprofit running a downtown greenhouse/urban-farm job-training program growing food while helping adults re-enter the workforce. Source: https://iowacapitaldispatch.com/2020/10/03/iowa-sees-surge-in-urban-farming-as-pandemic-continues/
Woodland Realm Community Garden,Des Moines,IA,Independent,https://www.facebook.com/dsm.dcg/,,Ryan Francois,,"Prospect, Des Moines",Half-acre community garden at 24th & High (started 2020) hosting community dinners and produce bazaars; won a city zoning battle to keep operating. Source: https://who13.com/news/metro-news/community-garden-finally-gets-win-vs-restrictive-city-ordinances/
Des Moines Parks & Recreation Community Gardens,Des Moines,IA,City-Sponsored,https://www.dsm.city/departments/parks_and_recreation-division/places/community_gardens.php,communitygarden@dmgov.org,,,"Prospect, Des Moines, City Program","Municipal program managing 209 rentable plots (~$30/season) at Franklin Ave (179 raised beds) and Woodland Park, with a produce-donation requirement. Source: https://www.dsm.city/departments/parks_and_recreation-division/places/community_gardens.php"
Kansas City Community Gardens,Kansas City,MO,Independent,https://kccg.org/,contact@kccg.org,,(816) 931-3877,"Prospect, Garden Network","501(c)(3) since 1985 supporting ~330 community gardens, 257 neighborhood orchards and 241 school gardens across the KC metro (MO & KS) — one of the largest networks in the US. Source: https://kccg.org/history-and-mission/"
Seed St. Louis,St. Louis,MO,Independent,https://seedstl.org/,,Matthew Schindler,(314) 588-9600,"Prospect, Garden Network",Formerly Gateway Greening; since 1984 supports 250+ community/school gardens and urban orchards across the St. Louis region plus a garden land trust. Source: https://seedstl.org/staff/
Columbia Center for Urban Agriculture,Columbia,MO,Independent,https://www.columbiaurbanag.org/,info@columbiaurbanag.org,,(573) 514-4174,Prospect,Nonprofit (501c3 since 2009) running Columbia's Agriculture Park and the Stevenson Veterans Urban Farm. Source: https://www.columbiaurbanag.org/
Community Garden Coalition (Columbia/Boone County),Columbia,MO,Independent,https://comogardens.org/,,Lindsey Smith,,"Prospect, Garden Network",Volunteer coalition supporting community gardens across Columbia/Boone County for 40+ years; 2025 report cites 450+ gardeners/family members. Source: https://comogardens.org/
Sprout City Farms,Denver,CO,Independent,https://sproutcityfarms.org/,info@sproutcityfarms.org,,(720) 239-2714,Prospect,Urban-ag nonprofit (since 2010) operating community farms incl. Denver Green School and Mountair Park community farms plus partner sites. Source: https://sproutcityfarms.org/our-story
Youth Farm,Minneapolis,MN,Independent,https://youthfarmmn.org/,,Gunnar Liden,,"Prospect, Garden Network","Nonprofit since 1995, one of MN's first urban-farming orgs; runs ~10 farm/garden sites across North Minneapolis and St. Paul. Source: https://youthfarmmn.org/our-team/staff/"
Frogtown Farm,St. Paul,MN,Independent,https://www.frogtownfarm.org/,,,,Prospect,Founded 2013; one of the largest certified-organic urban demonstration farms in the US (5-acre site in Frogtown Park & Farm). Source: https://www.frogtownfarm.org/
Common Ground (Lawrence-Douglas County),Lawrence,KS,City-Sponsored,https://www.dgcoks.gov/administration/sustainability/common-ground,,,,"Prospect, City Program, Garden Network",City program (est. 2012) with ~9.5 acres across ~10 sites (9 community gardens + incubator farm) serving 225+ gardeners. Source: https://www2.ljworld.com/news/general-news/2022/jul/28/common-ground-adding-11th-community-garden-in-lawrence/
Groundwork Northeast Revitalization Group,Kansas City,KS,Independent,https://www.northeastkck.org/,,,,Prospect,"Neighborhood revitalization nonprofit in NE Kansas City, KS advancing food sovereignty/green space via land-reuse and garden projects with a youth Green Team. Source: https://groundworkusa.org/network/groundwork-northeast-revitalization-group/"
